City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,novyy urgal,51.0736,132.5642,14.16,33,50,1.56,RU,1683687687
83,wynyard,-41.0,145.7167,14.99,64,38,4.27,AU,1683687816
84,blackmans bay,-43.0167,147.3167,13.62,71,62,4.75,AU,1683687816
85,college,64.8569,-147.8028,12.83,41,92,1.0,US,1683687816
86,chynadiyovo,48.4818,22.8217,4.01,86,7,2.58,UA,1683687816
87,rongelap,11.1635,166.8941,27.23,83,86,7.4,MH,1683687254
88,albany,42.6001,-73.9662,9.88,83,4,2.01,US,1683687230
89,filey,54.21,-0.2892,9.46,91,90,0.89,GB,1683687817
90,arraial do cabo,-22.9661,-42.0278,23.92,88,20,3.09,BR,1683686981
91,muynoq,43.7683,59.0214,24.77,17,98,5.51,UZ,1683687817
92,talnakh,69.4865,88.3972,-16.87,94,86,3.04,RU,1683687817
93,queenstown,-31.8976,26.8753,8.19,67,1,0.99,ZA,1683687818
94,tutoia,-2.7619,-42.2744,26.5,81,10,3.13,BR,1683687689
95,akureyri,65.6835,-18.0878,4.96,93,100,1.54,IS,1683687590
96,carnarvon,-24.8667,113.6333,21.03,84,100,1.29,AU,1683687818
97,vangaindrano,-23.35,47.6,20.01,94,12,1.53,MG,1683687818
98,port elizabeth,-33.918,25.5701,13.51,99,5,0.45,ZA,1683687589
99,uttar char fasson,22.2332,90.7132,31.62,63,2,4.93,BD,1683687819
100,piacabucu,-10.4056,-36.4344,24.35,81,4,1.99,BR,1683687819
101,ivanava,52.1451,25.5365,3.42,78,20,2.31,BY,1683687819
102,invercargill,-46.4,168.35,8.34,95,51,1.34,NZ,1683687819
103,hayrabolu,41.2131,27.1069,8.31,87,98,3.5,TR,1683687819
104,iskateley,67.6803,53.1512,-1.28,89,99,4.64,RU,1683687820
105,nova sintra,14.8667,-24.7167,19.76,82,1,8.75,CV,1683687632
106,isla mujeres,21.2311,-86.731,27.87,81,100,5.46,MX,1683687820
107,sitka,57.0531,-135.33,10.94,58,0,0.0,US,1683687244
108,odienne,9.51,-7.5692,25.64,60,90,1.03,CI,1683687820
109,kruisfontein,-34.0033,24.7314,13.47,76,68,2.38,ZA,1683687709
110,gaspe,48.8334,-64.4819,5.95,45,75,3.09,CA,1683687611
111,erenhot,43.6475,111.9767,18.09,44,99,4.44,CN,1683687821
112,isangel,-19.55,169.2667,29.06,74,75,3.09,VU,1683687821
113,kailua-kona,19.6406,-155.9956,27.93,72,100,1.34,US,1683687797
114,colby,39.3958,-101.0524,18.35,64,40,6.17,US,1683687718
115,sadovoye,47.7764,44.5089,7.7,78,87,2.62,RU,1683687822
116,ed damer,17.5928,33.9592,23.8,14,76,4.86,SD,1683687822
117,tralee,52.2704,-9.7026,10.32,91,99,6.87,IE,1683687539
118,saipan,15.1355,145.701,29.8,100,73,4.47,MP,1683687822
119,kanniyakumari,8.0833,77.5667,28.11,72,100,5.56,IN,1683687822
120,tolanaro,-25.0319,46.9987,22.04,94,20,4.12,MG,1683687822
121,el matama,16.7095,33.3565,25.06,13,64,4.14,SD,1683687823
122,moussoro,13.6408,16.4901,29.06,17,97,2.48,TD,1683687823
123,katsuren-haebaru,26.3369,127.8719,23.43,78,75,5.14,JP,1683687823
124,kargat,55.1956,80.2811,9.08,38,4,3.25,RU,1683687823
125,egilsstadir,65.2653,-14.3948,5.95,93,100,2.06,IS,1683687823
126,bush,29.1482,31.1273,18.76,55,0,2.38,EG,1683687823
127,nyurba,63.2842,118.3319,4.68,89,100,4.86,RU,1683687824
128,santa isabel,-23.3156,-46.2214,20.61,99,99,0.69,BR,1683687824
129,el-tor,28.2364,33.6254,20.08,88,0,5.14,EG,1683687824
130,mount isa,-20.7333,139.5,22.5,17,0,8.11,AU,1683687224
131,kuta,-8.7233,115.1723,28.97,83,75,6.26,ID,1683687661
132,geraldton,-28.7667,114.6,22.35,58,20,5.85,AU,1683687824
133,karratha,-20.7377,116.8463,27.11,19,81,8.14,AU,1683687230
134,atafu village,-8.5421,-172.5159,28.87,77,17,6.44,TK,1683687825
135,cabo san lucas,22.8909,-109.9124,28.17,22,20,3.6,MX,1683687825
136,afaahiti,-17.75,-149.2833,27.81,84,59,6.73,PF,1683687825
137,zaozersk,69.4005,32.4476,1.63,99,100,2.99,RU,1683687825
138,suva,-18.1416,178.4415,27.71,69,75,2.57,FJ,1683687825
139,la passe,45.5549,-0.8967,12.77,63,94,7.09,FR,1683687826
140,hamilton,39.1834,-84.5333,15.68,64,0,1.54,US,1683687534
141,fortuna,40.5982,-124.1573,12.74,83,0,4.12,US,1683687551
142,phan rang-thap cham,11.5667,108.9833,32.06,58,35,2.02,VN,1683687826
143,punta arenas,-53.15,-70.9167,-0.94,93,0,2.57,CL,1683687578
144,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,40,75,2.0,RU,1683687826
145,coahuayana de hidalgo,18.7,-103.6583,24.91,85,0,0.16,MX,1683687249
146,codrington,-38.2667,141.9667,15.09,56,100,1.98,AU,1683687827
147,gillette,44.2911,-105.5022,17.19,29,40,5.14,US,1683687772
148,naze,28.3667,129.4833,23.51,60,1,6.88,JP,1683687827
149,talara,-4.5772,-81.2719,25.19,80,5,6.11,PE,1683687827
150,sarupathar,26.1984,93.8094,31.19,41,0,1.56,IN,1683687827
151,ilulissat,69.2167,-51.1,-1.99,86,100,3.6,GL,1683687827
152,beyneu,45.3167,55.2,19.75,54,38,5.53,KZ,1683687828
153,weno,7.4515,151.8468,28.24,77,100,5.46,FM,1683687828
154,sosnogorsk,63.6023,53.8817,0.96,86,100,2.4,RU,1683687828
155,harar,9.3094,42.1258,14.22,93,88,0.8,ET,1683687828
156,andergrove,-21.0833,149.1833,21.54,65,74,7.11,AU,1683687828
157,howrah,22.5892,88.3103,33.0,62,40,3.09,IN,1683687829
158,isafjordur,66.0755,-23.124,3.73,95,100,1.99,IS,1683687830
159,kokopo,-4.352,152.2633,29.93,71,24,2.71,PG,1683687830
160,al burayqah,30.4062,19.5739,19.8,67,49,4.04,LY,1683687536
161,saint-philippe,-21.3585,55.7679,21.77,83,46,4.04,RE,1683687234
162,constantia,44.1833,28.65,5.39,78,7,2.8,RO,1683687831
163,undurkhaan,47.3194,110.6556,15.1,56,100,5.94,MN,1683687832
164,sangola,17.4333,75.2,31.55,46,64,4.17,IN,1683687832
165,irtyshsk,53.3333,75.4572,11.02,31,77,3.84,KZ,1683687832
166,brookings,44.3114,-96.7984,20.0,68,75,4.63,US,1683687535
167,tadine,-21.55,167.8833,24.06,55,42,6.65,NC,1683687832
168,bubaque,11.2833,-15.8333,26.84,76,100,6.11,GW,1683687832
169,nar'yan-mar,67.6713,53.087,-1.25,88,99,4.66,RU,1683687833
170,vilyuchinsk,52.9306,158.4028,11.15,79,32,2.57,RU,1683687833
171,vernon,50.2581,-119.2691,17.74,55,88,1.03,CA,1683687339
172,flying fish cove,-10.4217,105.6791,27.73,77,64,8.57,CX,1683687834
173,qusmuryn,52.4503,64.6311,8.5,57,100,6.18,KZ,1683687834
174,pacific grove,36.6177,-121.9166,15.97,83,75,5.14,US,1683687495
175,mili,6.0815,171.735,27.0,85,93,8.46,MH,1683687621
176,al jawf,29.5,38.75,20.17,33,0,2.63,SA,1683687834
177,santana,-0.0583,-51.1817,26.1,100,0,1.03,BR,1683687834
178,gujar khan,33.2558,73.3026,27.02,29,0,2.77,PK,1683687835
179,puerto baquerizo moreno,-0.9,-89.6,26.17,87,47,4.33,EC,1683687584
180,stawell,-37.05,142.7667,14.69,54,37,3.35,AU,1683687835
181,tura,25.5198,90.2201,31.9,34,1,2.98,IN,1683687835
182,sitangkai,4.6628,119.3928,28.87,77,99,4.3,PH,1683687835
183,wailua homesteads,22.0669,-159.378,24.51,81,32,3.58,US,1683687835
184,st. paul,44.9444,-93.0933,17.94,85,100,0.0,US,1683687634
185,kelibia,36.8476,11.0939,16.12,92,59,4.67,TN,1683687836
186,alice springs,-23.7,133.8833,16.73,28,0,7.15,AU,1683687836
187,saudarkrokur,65.7461,-19.6394,3.52,97,100,0.9,IS,1683687836
188,hithadhoo,-0.6,73.0833,28.02,73,79,3.81,MV,1683687836
189,pandan,14.0453,124.1694,29.91,68,85,1.99,PH,1683687680
190,port lincoln,-34.7333,135.8667,16.54,66,21,5.04,AU,1683687837
191,quellon,-43.1167,-73.6167,12.14,100,100,1.54,CL,1683687837
192,illizi,26.4833,8.4667,17.31,41,12,1.27,DZ,1683687637
193,kingston,17.997,-76.7936,25.69,87,94,0.45,JM,1683687523
194,miri,4.4148,114.0089,31.08,74,20,4.12,MY,1683687837
195,chernyshevskiy,63.0128,112.4714,-0.06,70,63,5.21,RU,1683687837
196,curanilahue,-37.4667,-73.35,11.57,66,100,1.62,CL,1683687838
197,laghouat,33.8,2.8651,19.17,30,2,2.29,DZ,1683687838
198,luderitz,-26.6481,15.1594,16.12,61,100,1.37,NA,1683687838
199,jiexiu,37.0244,111.9125,16.13,52,100,1.96,CN,1683687838
200,at taj,24.2049,23.2857,22.75,14,12,4.35,LY,1683687838
201,gisborne,-38.6533,178.0042,18.57,66,0,6.47,NZ,1683687697
202,bandarbeyla,9.4942,50.8122,28.7,70,98,1.04,SO,1683687656
203,la'ie,21.6477,-157.9253,27.78,69,8,3.13,US,1683687838
204,patterson,37.4716,-121.1297,17.77,58,49,2.96,US,1683687839
205,myitkyina,25.3833,97.4,36.02,21,39,0.19,MM,1683687839
206,taoudenni,22.6783,-3.9836,30.93,14,100,3.67,ML,1683687839
207,ulsteinvik,62.3432,5.8487,12.5,90,100,1.23,NO,1683687839
208,sao tome,0.3365,6.7273,27.38,82,84,1.29,ST,1683687839
209,chokwe,-24.5333,32.9833,16.68,95,4,2.45,MZ,1683687839
210,nakamura,32.9833,132.9333,21.95,50,100,1.69,JP,1683687716
211,newman,37.3138,-121.0208,19.19,39,85,2.68,US,1683687840
212,vilyuysk,63.7553,121.6247,4.59,98,100,2.74,RU,1683687840
213,kununurra,-15.7667,128.7333,26.26,16,100,7.83,AU,1683687570
214,noshiro,40.2039,140.0242,15.46,44,2,4.44,JP,1683687840
215,lae,-6.7221,146.9847,30.37,53,54,2.3,PG,1683687654
216,anna regina,7.2644,-58.5077,25.89,82,100,3.04,GY,1683687840
217,callao,-12.0667,-77.15,21.16,83,100,5.14,PE,1683687263
218,pompeia,-22.1086,-50.1717,19.85,87,100,1.78,BR,1683687841
219,lewiston orchards,46.3804,-116.9754,13.8,78,100,0.18,US,1683687841
220,bela vista,-22.1089,-56.5211,20.6,97,87,0.92,BR,1683687841
221,aasiaat,68.7098,-52.8699,-7.9,85,19,0.97,GL,1683687841
222,port saint john's,-31.6229,29.5448,16.8,86,2,2.59,ZA,1683687558
223,aral,40.5156,81.2636,21.47,9,1,3.6,CN,1683687841
224,conduaga,8.862,117.4893,31.27,62,70,2.15,PH,1683687259
225,ola,59.5833,151.2833,10.08,81,44,3.49,RU,1683687842
226,fada n'gourma,12.0622,0.3578,32.13,35,10,4.26,BF,1683687842
227,nogliki,51.8333,143.1667,1.44,91,100,4.76,RU,1683687842
228,atamyrat,37.8357,65.2106,26.57,17,60,4.14,TM,1683687842
229,colipapa,9.4726,122.5616,30.45,67,68,2.09,PH,1683687843
230,cidade velha,14.9167,-23.6167,22.26,78,20,4.12,CV,1683687843
231,varshets,43.1953,23.2861,7.96,99,100,0.79,BG,1683687843
232,barah,13.7,30.3667,25.56,11,56,4.51,SD,1683687542
233,fale old settlement,-9.3852,-171.2468,29.05,76,78,6.79,TK,1683687844
234,moyale,3.5167,39.0584,17.37,95,98,2.21,KE,1683687743
235,nouadhibou,20.931,-17.0347,17.99,94,75,4.63,MR,1683687844
236,al ghayzah,16.2079,52.176,27.72,72,83,2.89,YE,1683687708
237,hjo,58.3013,14.2878,7.79,65,55,3.49,SE,1683687844
238,arar,30.9753,41.0381,20.01,37,0,1.54,SA,1683687740
239,cradock,-32.1642,25.6192,12.48,42,4,1.95,ZA,1683687845
240,dudinka,69.4058,86.1778,-16.13,92,39,2.19,RU,1683687845
241,new norfolk,-42.7826,147.0587,14.28,61,91,0.89,AU,1683687845
242,stanley,54.868,-1.6985,7.63,91,2,1.54,GB,1683687606
243,qarauyl,48.9451,79.255,16.46,41,100,2.78,KZ,1683687845
244,gorom-gorom,14.4439,-0.2361,31.11,14,95,3.56,BF,1683687846
245,east london,-33.0153,27.9116,16.63,75,2,4.17,ZA,1683687846
246,amqui,48.4638,-67.4313,1.37,56,71,1.35,CA,1683687846
247,sakakah,29.9697,40.2064,20.76,41,2,2.37,SA,1683687846
248,mokhsogollokh,61.4681,128.9203,8.25,55,71,6.45,RU,1683687846
249,reyes,-14.3167,-67.3833,20.11,94,60,0.92,BO,1683687847
250,ust-nera,64.5667,143.2,3.3,44,100,4.43,RU,1683687847
251,okhotsk,59.3833,143.3,6.03,71,14,2.89,RU,1683687847
252,anadyr,64.75,177.4833,-0.72,80,20,2.0,RU,1683687847
253,barra de santo antonio,-9.4047,-35.5072,23.6,83,5,2.05,BR,1683687848
254,qaqortoq,60.7167,-46.0333,1.93,87,100,2.77,GL,1683687848
255,ogulin,45.2661,15.2286,6.45,85,100,0.75,HR,1683687848
256,badger,64.8,-147.5333,13.14,33,40,1.54,US,1683687848
257,bom jesus,-9.0744,-44.3586,23.36,67,36,0.68,BR,1683687848
258,pisco,-13.7,-76.2167,20.03,83,75,4.63,PE,1683687849
259,kupang,-10.1667,123.5833,32.32,66,20,8.75,ID,1683687849
260,gavrilov-yam,57.3018,39.8533,7.91,69,93,1.85,RU,1683687849
261,lycksele,64.5954,18.6735,8.93,61,75,2.06,SE,1683687671
262,mossel bay,-34.1831,22.146,10.96,77,85,2.76,ZA,1683687849
263,tan-tan,28.438,-11.1032,19.11,86,4,1.99,MA,1683687850
264,nyandoma,61.669,40.1991,6.39,73,100,2.39,RU,1683687850
265,bel ombre,-4.6167,55.4167,27.91,74,20,5.66,SC,1683687850
266,copparo,44.893,11.8249,13.9,86,100,3.78,IT,1683687850
267,oriximina,-1.7656,-55.8661,24.85,86,68,1.32,BR,1683687693
268,cole harbour,44.6724,-63.4751,5.71,81,48,1.03,CA,1683687851
269,carutapera,-1.195,-46.02,24.74,92,94,2.28,BR,1683687851
270,karasburg,-28.0167,18.75,16.11,26,6,4.2,NA,1683687851
271,kukawa,12.9234,13.5606,28.3,21,81,3.22,NG,1683687851
272,cestos city,5.46,-9.5828,27.36,83,97,2.34,LR,1683687689
273,kolwezi,-10.7148,25.4667,12.91,74,100,3.01,CD,1683687852
274,hadibu,12.65,54.0333,27.8,69,99,0.45,YE,1683687852
275,navoiy,40.0844,65.3792,20.71,32,71,5.14,UZ,1683687854
276,er regueb,34.8593,9.7865,16.07,84,50,2.25,TN,1683687854
277,boende,-0.2167,20.8667,21.65,99,100,1.04,CD,1683687255
278,tamanrasset,22.785,5.5228,16.95,19,66,1.03,DZ,1683687703
279,remire-montjoly,4.9167,-52.2667,25.02,94,75,3.09,GF,1683687854
280,kolonia town,6.964,158.206,31.0,74,100,2.57,FM,1683687556
281,praia da vitoria,38.7333,-27.0667,18.2,94,40,7.02,PT,1683687855
282,buzdyak,54.5833,54.55,6.78,55,77,3.34,RU,1683687855
283,papao,-17.75,-149.55,28.7,83,48,4.74,PF,1683687855
284,castillos,-34.1667,-53.8333,11.11,86,86,2.69,UY,1683687861
285,saldanha,-33.0117,17.9442,12.03,65,99,2.84,ZA,1683687269
286,rawson,-43.3002,-65.1023,10.51,68,0,6.18,AR,1683687699
287,kavala,40.9397,24.4019,11.58,84,100,1.34,GR,1683687710
288,cadale,2.7603,46.3222,26.37,84,91,6.44,SO,1683687861
289,galliano,29.4422,-90.2992,26.0,89,75,4.12,US,1683687862
290,winnemucca,40.973,-117.7357,13.03,33,0,2.57,US,1683687862
291,taulaga,-11.0553,-171.0883,28.69,77,13,6.62,AS,1683687862
292,fort st. john,56.2499,-120.8529,19.94,26,40,1.03,CA,1683687778
293,gizo,-8.103,156.8419,29.24,73,74,2.29,SB,1683687654
294,klyuchi,52.2667,79.1667,13.77,32,94,4.19,RU,1683687863
295,el bauga,18.262,33.9081,22.55,16,67,4.49,SD,1683687863
296,fruitland,38.3221,-75.6202,11.05,87,0,0.0,US,1683687863
297,boguchany,58.3814,97.4531,6.32,38,60,3.71,RU,1683687864
298,yatou,37.15,122.3833,21.29,28,100,1.99,CN,1683687864
299,thunder bay,48.4001,-89.3168,9.99,49,40,2.06,CA,1683687700
300,shalazhi,43.0978,45.3608,11.64,83,70,1.08,RU,1683687885
301,touros,-5.1989,-35.4608,25.44,87,20,4.61,BR,1683687885
302,dryden,49.7833,-92.7503,13.16,71,100,2.06,CA,1683687886
303,huangnihe,43.5583,128.0239,15.05,21,0,1.79,CN,1683687886
304,margate,51.3813,1.3862,11.06,92,99,1.79,GB,1683687886
305,feodosiya,45.0333,35.3833,9.73,81,94,4.87,UA,1683687886
306,toliara,-23.35,43.6667,22.27,70,0,2.11,MG,1683687886
